scenario_id,runs,same_status,same_collision,fusion_pass,radar_pass,fusion_fail,radar_fail,fusion_collision,radar_collision,delta_first_brake_mean_s,delta_brake_gap_mean_m,delta_min_gap_mean_m
ccrb_110_gap_20,5,5,5,0,0,5,5,5,5,0.0,0.003399999999999892,-0.032
ccrb_110_gap_30,5,5,5,5,5,0,0,0,0,0.0,-0.0023999999999993805,-0.00039999999999995595
ccrb_110_gap_40,5,5,5,5,5,0,0,0,0,0.0,0.00039999999999906777,-0.009800000000000076
ccrb_110_gap_50,5,5,5,5,5,0,0,0,0,0.0,-0.02539999999999907,-0.010600000000000165
ccrb_110_gap_60,5,5,5,5,5,0,0,0,0,0.0,-0.004200000000003002,-0.0024000000000008017
ccrb_110_gap_80,5,5,5,5,5,0,0,0,0,0.0,0.015400000000001057,-0.011200000000000543
ccrb_50_gap_20,5,5,5,5,5,0,0,0,0,0.0,-0.00020000000000024442,0.0038000000000000256
ccrb_50_gap_30,5,5,5,5,5,0,0,0,0,0.0,-0.0012000000000000454,-0.00040000000000031124
ccrb_50_gap_40,5,5,5,5,5,0,0,0,0,0.0,-0.0034000000000006026,-0.0019999999999999575
ccrb_50_gap_50,5,5,5,5,5,0,0,0,0,0.0,-0.0035999999999994257,-0.002999999999999936
ccrb_50_gap_60,5,5,5,5,5,0,0,0,0,0.0,-0.009999999999999431,-0.009600000000000008
ccrb_50_gap_80,5,5,5,5,5,0,0,0,0,0.0,0.00020000000000024442,-0.0004000000000001336
ccrb_65_gap_20,5,5,5,5,5,0,0,0,0,0.0,-0.008200000000000074,-0.005599999999999916
ccrb_65_gap_30,5,5,5,5,5,0,0,0,0,0.0,-0.006000000000000938,0.01720000000000006
ccrb_65_gap_40,5,5,5,5,5,0,0,0,0,0.0,0.0007999999999981355,-0.0008000000000000895
ccrb_65_gap_50,5,5,5,5,5,0,0,0,0,0.0,-0.026800000000000778,0.012199999999999989
ccrb_65_gap_60,5,5,5,5,5,0,0,0,0,0.0,-0.0012000000000000454,-0.0016000000000000014
