scenario_id,family,runs,pass,fail,collision,brake,mixed_outcome,first_brake_s_mean,first_brake_s_std,first_brake_s_min,first_brake_s_max,first_brake_s_range,brake_gap_m_mean,brake_gap_m_std,brake_gap_m_min,brake_gap_m_max,brake_gap_m_range,minimum_bumper_gap_m_mean,minimum_bumper_gap_m_std,minimum_bumper_gap_m_min,minimum_bumper_gap_m_max,minimum_bumper_gap_m_range,maximum_deceleration_mps2_mean,maximum_deceleration_mps2_std,maximum_deceleration_mps2_min,maximum_deceleration_mps2_max,maximum_deceleration_mps2_range,maximum_abs_jerk_mps3_mean,maximum_abs_jerk_mps3_std,maximum_abs_jerk_mps3_min,maximum_abs_jerk_mps3_max,maximum_abs_jerk_mps3_range,target_confirmed_rate_pct_mean,target_confirmed_rate_pct_std,target_confirmed_rate_pct_min,target_confirmed_rate_pct_max,target_confirmed_rate_pct_range,radar_target_hazard_match_rate_pct_mean,radar_target_hazard_match_rate_pct_std,radar_target_hazard_match_rate_pct_min,radar_target_hazard_match_rate_pct_max,radar_target_hazard_match_rate_pct_range
ccrb_110_gap_20,CCRb,5,0,5,5,5,False,2.1,0.0,2.1,2.1,0.0,18.569,0.011027239001672445,18.562,18.591,0.028999999999999915,0.0508,0.03661365865356807,0.004,0.082,0.078,251.0308,0.7864854480535518,250.573,252.599,2.025999999999982,4802.218,15.728584322818064,4793.064,4833.58,40.51599999999962,94.81400000000001,0.4920000000000016,93.83,95.06,1.230000000000004,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_30,CCRb,5,5,0,0,5,False,2.25,0.0,2.25,2.25,0.0,27.449,0.0,27.449,27.449,0.0,1.6552,0.002227105745132003,1.653,1.659,0.006000000000000005,11.982,0.0,11.982,11.982,0.0,224.6216,5.955323319518431,216.684,230.342,13.658000000000015,94.39,0.0,94.39,94.39,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_40,CCRb,5,5,0,0,5,False,2.45,0.0,2.45,2.45,0.0,35.5524,0.003006659275675137,35.55,35.558,0.008000000000002672,4.153,0.03890501253052108,4.106,4.196,0.08999999999999986,11.968,0.0,11.968,11.968,0.0,218.886,0.949503449177512,217.086,219.774,2.687999999999988,94.64,0.0,94.64,94.64,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_50,CCRb,5,5,0,0,5,False,2.65,0.0,2.65,2.65,0.0,43.132400000000004,0.012986146464598365,43.124,43.158,0.03399999999999892,6.4618,0.04997359302671759,6.415,6.558,0.1429999999999998,12.5804,0.36762295902187636,11.975,12.878,0.9030000000000005,227.786,49.76933277430992,128.614,255.604,126.99000000000001,94.87,0.0,94.87,94.87,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_60,CCRb,5,5,0,0,5,False,2.85,0.0,2.85,2.85,0.0,50.1488,0.010264501936283274,50.142,50.169,0.026999999999993918,8.2234,0.0052383203414832465,8.217,8.232,0.014999999999998792,12.0916,0.40519999999999995,11.889,12.902,1.013,166.0316,46.0928545160744,133.962,256.034,122.072,95.12,0.0,95.12,95.12,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_80,CCRb,5,5,0,0,5,False,3.25,0.0,3.25,3.25,0.0,62.5202,0.032603067340358255,62.495,62.577,0.08200000000000074,10.4688,0.037177412497375356,10.414,10.501,0.08699999999999974,11.146,0.0,11.146,11.146,0.0,267.75440000000003,156.2780505197067,131.784,458.966,327.182,61.59,0.0,61.59,61.59,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_20,CCRb,5,5,0,0,5,False,2.3,0.0,2.3,2.3,0.0,17.0104,0.01630460057775109,17.002,17.043,0.04100000000000037,6.929,0.014505171491575162,6.912,6.956,0.04400000000000048,11.3312,0.1319263430858295,11.105,11.462,0.3569999999999993,226.47,2.643912857868049,221.936,229.092,7.156000000000006,97.56,0.0,97.56,97.56,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_30,CCRb,5,5,0,0,5,False,2.95,0.0,2.95,2.95,0.0,20.0902,0.0004000000000004889,20.09,20.091,0.0010000000000012221,7.3908,0.0011661903789691144,7.39,7.393,0.0030000000000001137,9.896600000000001,0.08320000000000007,9.855,10.063,0.20800000000000018,157.2384,11.814085247703266,139.122,172.984,33.861999999999995,93.75,0.0,93.75,93.75,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_40,CCRb,5,5,0,0,5,False,3.65,0.0,3.65,3.65,0.0,20.3692,0.0019390719429664097,20.367,20.372,0.004999999999999005,7.5584,0.0017435595774161997,7.556,7.561,0.004999999999999893,10.0648,0.2582381846280676,9.851,10.554,0.7029999999999994,197.5832,8.912333799852874,185.188,210.944,25.756,50.0,0.0,50.0,50.0,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_50,CCRb,5,5,0,0,5,False,4.35,0.0,4.35,4.35,0.0,20.6424,0.0004898979485572343,20.642,20.643,0.0010000000000012221,7.8314,0.0004898979485563641,7.831,7.832,0.0009999999999994458,10.0798,0.23942213765648324,9.851,10.374,0.5229999999999997,198.74,7.71279186805919,188.894,207.35,18.45599999999999,42.74,0.0,42.74,42.74,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_60,CCRb,5,5,0,0,5,False,5.05,0.0,5.05,5.05,0.0,20.9088,0.025039169315293902,20.859,20.926,0.06699999999999662,7.9578,0.025063120316512637,7.908,7.975,0.06699999999999928,12.2068,0.07982581036231375,12.152,12.364,0.21200000000000152,242.0804,1.6109422832615683,240.996,245.274,4.277999999999992,37.68,0.0,37.68,37.68,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_80,CCRb,5,5,0,0,5,False,6.5,0.0,6.5,6.5,0.0,20.7768,0.001469693845669189,20.774,20.778,0.003999999999997783,7.966,0.0015491933384827962,7.963,7.967,0.0039999999999995595,10.254800000000001,0.2789146105889758,9.912,10.595,0.6829999999999998,204.9512,5.5806037809541715,198.1,211.76,13.659999999999997,31.14,0.0,31.14,31.14,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_65_gap_20,CCRb,5,5,0,0,5,False,2.15,0.0,2.15,2.15,0.0,18.211199999999998,0.0009797958971135984,18.21,18.213,0.0030000000000001137,5.164,0.0015491933384827962,5.163,5.167,0.0039999999999995595,10.66,0.16697544729690078,10.523,10.865,0.3420000000000005,140.9376,7.724424162356707,133.64,150.298,16.658000000000015,97.67,0.0,97.67,97.67,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_65_gap_30,CCRb,5,5,0,0,5,False,2.55,0.0,2.55,2.55,0.0,24.5898,0.0007483314773557029,24.589,24.591,0.0020000000000024443,6.7146,0.0020591260281972077,6.711,6.717,0.005999999999999339,10.9424,0.14770863211065274,10.754,11.117,0.3630000000000013,218.6976,2.954524232427278,214.94,222.196,7.256,93.75,0.0,93.75,93.75,0.0,100.0,0.0,100.0,100.0,0.0
