scenario_id,family,runs,pass,fail,collision,brake,mixed_outcome,first_brake_s_mean,first_brake_s_std,first_brake_s_min,first_brake_s_max,first_brake_s_range,brake_gap_m_mean,brake_gap_m_std,brake_gap_m_min,brake_gap_m_max,brake_gap_m_range,minimum_bumper_gap_m_mean,minimum_bumper_gap_m_std,minimum_bumper_gap_m_min,minimum_bumper_gap_m_max,minimum_bumper_gap_m_range,maximum_deceleration_mps2_mean,maximum_deceleration_mps2_std,maximum_deceleration_mps2_min,maximum_deceleration_mps2_max,maximum_deceleration_mps2_range,maximum_abs_jerk_mps3_mean,maximum_abs_jerk_mps3_std,maximum_abs_jerk_mps3_min,maximum_abs_jerk_mps3_max,maximum_abs_jerk_mps3_range,target_confirmed_rate_pct_mean,target_confirmed_rate_pct_std,target_confirmed_rate_pct_min,target_confirmed_rate_pct_max,target_confirmed_rate_pct_range,radar_target_hazard_match_rate_pct_mean,radar_target_hazard_match_rate_pct_std,radar_target_hazard_match_rate_pct_min,radar_target_hazard_match_rate_pct_max,radar_target_hazard_match_rate_pct_range
adjacent_stationary_50,adjacent,5,5,0,0,0,False,,,,,,,,,,,,,,,,0.118,0.0,0.118,0.118,0.0,111.208,0.0,111.208,111.208,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
adjacent_stationary_65,adjacent,5,5,0,0,0,False,,,,,,,,,,,,,,,,1.325,0.0,1.325,1.325,0.0,133.642,0.0,133.642,133.642,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
adjacent_stationary_80,adjacent,5,5,0,0,0,False,,,,,,,,,,,,,,,,2.2132,0.00711055553385234,2.204,2.219,0.01499999999999968,141.41,0.0,141.41,141.41,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
ccrb_50_to_0,CCRb,5,5,0,0,5,False,2.8,0.0,2.8,2.8,0.0,19.502000000000002,0.019595917942265006,19.478,19.518,0.03999999999999915,6.9636,0.029890466707631305,6.927,6.989,0.06200000000000028,9.927,0.1029485308297304,9.855,10.119,0.26399999999999935,145.1332,6.503075899910756,135.736,152.418,16.682000000000016,93.55,0.0,93.55,93.55,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_65_to_0,CCRb,5,5,0,0,5,False,2.9,0.0,2.9,2.9,0.0,27.6204,0.0013564659966250352,27.619,27.622,0.0030000000000001137,7.3229999999999995,0.005366563145999566,7.318,7.33,0.012000000000000455,10.2682,0.0009797958971135984,10.267,10.269,0.002000000000000668,152.492,5.11944793898717,145.102,159.388,14.286000000000001,94.23,0.0,94.23,94.23,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_80_to_0,CCRb,5,5,0,0,5,False,3.0,0.0,3.0,3.0,0.0,37.575,0.0,37.575,37.575,0.0,8.4558,0.0016000000000005344,8.453,8.457,0.004000000000001336,12.4168,1.09643192219125,10.224,12.979,2.754999999999999,234.01399999999998,46.30292415819977,141.41,257.698,116.28799999999998,94.74,0.0,94.74,94.74,0.0,100.0,0.0,100.0,100.0,0.0
ccrm_50_20,CCRm,5,5,0,0,5,False,2.7,0.0,2.7,2.7,0.0,17.2716,0.0014966629547098864,17.269,17.273,0.004000000000001336,12.4022,0.0017204650534089346,12.399,12.404,0.005000000000000782,12.6874,0.08221581356405869,12.527,12.756,0.22900000000000098,250.832,3.0707307273676703,244.738,252.944,8.205999999999989,74.44,0.0,74.44,74.44,0.0,100.0,0.0,100.0,100.0,0.0
ccrm_65_30,CCRm,5,5,0,0,5,False,2.75,0.0,2.75,2.75,0.0,23.021,0.015033296378372044,23.012,23.051,0.038999999999997925,15.5384,0.010384603988597352,15.531,15.559,0.027999999999998693,10.2272,0.0003999999999997783,10.227,10.228,0.0009999999999994458,196.9776,126.6712,133.642,450.32,316.678,40.22,0.0,40.22,40.22,0.0,100.0,0.0,100.0,100.0,0.0
ccrm_80_50,CCRm,5,5,0,0,5,False,3.65,0.0,3.65,3.65,0.0,24.2274,0.0033823069050579048,24.225,24.234,0.009000000000000341,18.1744,0.002332380757938168,18.173,18.179,0.006000000000000227,8.806,0.0,8.806,8.806,0.0,141.41,0.0,141.41,141.41,0.0,45.53,0.0,45.53,45.53,0.0,100.0,0.0,100.0,100.0,0.0
ccrs_50,CCRs,5,5,0,0,5,False,1.75,0.0,1.75,1.75,0.0,20.491,0.0,20.491,20.491,0.0,6.2702,0.03397293040054109,6.249,6.338,0.08900000000000041,9.6576,0.2946330599236956,9.317,10.121,0.8040000000000003,189.924,10.711980507823945,170.778,202.276,31.49800000000002,74.67,0.0,74.67,74.67,0.0,100.0,0.0,100.0,100.0,0.0
