scenario_id,family,runs,pass,fail,collision,brake,mixed_outcome,first_brake_s_mean,first_brake_s_std,first_brake_s_min,first_brake_s_max,first_brake_s_range,brake_gap_m_mean,brake_gap_m_std,brake_gap_m_min,brake_gap_m_max,brake_gap_m_range,minimum_bumper_gap_m_mean,minimum_bumper_gap_m_std,minimum_bumper_gap_m_min,minimum_bumper_gap_m_max,minimum_bumper_gap_m_range,maximum_deceleration_mps2_mean,maximum_deceleration_mps2_std,maximum_deceleration_mps2_min,maximum_deceleration_mps2_max,maximum_deceleration_mps2_range,maximum_abs_jerk_mps3_mean,maximum_abs_jerk_mps3_std,maximum_abs_jerk_mps3_min,maximum_abs_jerk_mps3_max,maximum_abs_jerk_mps3_range,target_confirmed_rate_pct_mean,target_confirmed_rate_pct_std,target_confirmed_rate_pct_min,target_confirmed_rate_pct_max,target_confirmed_rate_pct_range,radar_target_hazard_match_rate_pct_mean,radar_target_hazard_match_rate_pct_std,radar_target_hazard_match_rate_pct_min,radar_target_hazard_match_rate_pct_max,radar_target_hazard_match_rate_pct_range
braking_65_gap_28,braking,5,5,0,0,5,False,2.5,0.0,2.5,2.5,0.0,23.1218,0.0036551333764998366,23.119,23.129,0.010000000000001563,6.0248,0.002638181191654765,6.023,6.03,0.007000000000000561,10.8336,0.24865204604024493,10.431,11.209,0.7780000000000005,147.1216,11.042013975720193,136.938,165.876,28.938000000000017,93.62,0.0,93.62,93.62,0.0,100.0,0.0,100.0,100.0,0.0
braking_80_gap_40,braking,5,5,0,0,5,False,2.71,0.019999999999999928,2.7,2.75,0.04999999999999982,32.5188,0.2580367415698787,32.003,32.664,0.6610000000000014,7.1368,0.24743273833508758,6.642,7.267,0.625,12.237,0.7515056886012239,10.737,12.702,1.9649999999999999,292.7124,85.29926342847281,249.066,463.298,214.232,94.35000000000001,0.019999999999998862,94.34,94.39,0.04999999999999716,100.0,0.0,100.0,100.0,0.0
braking_90_gap_55,braking,5,5,0,0,5,False,3.0,0.0,3.0,3.0,0.0,42.8624,0.020519259245891663,42.845,42.889,0.044000000000004036,8.7592,0.011391224692718383,8.748,8.773,0.025000000000000355,10.8574,0.2781097625039436,10.475,11.245,0.7699999999999996,207.0872,129.090825753653,139.438,465.134,325.696,94.92,0.0,94.92,94.92,0.0,100.0,0.0,100.0,100.0,0.0
false_adjacent_90,false,5,5,0,0,0,False,,,,,,,,,,,,,,,,2.7116,0.06072758845862409,2.678,2.833,0.15500000000000025,140.112,0.0,140.112,140.112,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
false_clear_90,false,5,5,0,0,0,False,,,,,,,,,,,,,,,,2.5536,0.004715930449020635,2.545,2.557,0.01200000000000001,137.418,0.0,137.418,137.418,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
false_curve_adjacent_65,false,5,5,0,0,0,False,,,,,,,,,,,,,,,,1.2993999999999999,0.0004898979485566904,1.299,1.3,0.001000000000000112,130.81,0.0,130.81,130.81,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
false_curve_adjacent_70,false,5,5,0,0,0,False,,,,,,,,,,,,,,,,1.62,0.010990905331227254,1.607,1.633,0.026000000000000023,132.8828,1.5005031689403383,130.382,134.226,3.843999999999994,0.0,0.0,0.0,0.0,0.0,,,,,
false_curve_adjacent_75,false,5,5,0,0,0,False,,,,,,,,,,,,,,,,1.9472,0.06373507668466394,1.903,2.074,0.17099999999999982,133.6068,2.2448032786861245,130.248,135.408,5.159999999999997,0.0,0.0,0.0,0.0,0.0,,,,,
false_curve_adjacent_80,false,5,5,0,0,0,False,,,,,,,,,,,,,,,,2.1698,0.0049558046773454855,2.161,2.175,0.01399999999999979,135.8876,1.023199999999997,135.376,137.934,2.5579999999999927,0.0,0.0,0.0,0.0,0.0,,,,,
false_curve_clear_90,false,5,5,0,0,0,False,,,,,,,,,,,,,,,,2.4882,0.007520638270785144,2.479,2.497,0.017999999999999794,126.2256,1.8150259061511962,124.498,128.42,3.921999999999983,0.0,0.0,0.0,0.0,0.0,,,,,
