scenario_id,family,runs,pass,fail,collision,brake,mixed_outcome,first_brake_s_mean,first_brake_s_std,first_brake_s_min,first_brake_s_max,first_brake_s_range,brake_gap_m_mean,brake_gap_m_std,brake_gap_m_min,brake_gap_m_max,brake_gap_m_range,minimum_bumper_gap_m_mean,minimum_bumper_gap_m_std,minimum_bumper_gap_m_min,minimum_bumper_gap_m_max,minimum_bumper_gap_m_range,maximum_deceleration_mps2_mean,maximum_deceleration_mps2_std,maximum_deceleration_mps2_min,maximum_deceleration_mps2_max,maximum_deceleration_mps2_range,maximum_abs_jerk_mps3_mean,maximum_abs_jerk_mps3_std,maximum_abs_jerk_mps3_min,maximum_abs_jerk_mps3_max,maximum_abs_jerk_mps3_range,target_confirmed_rate_pct_mean,target_confirmed_rate_pct_std,target_confirmed_rate_pct_min,target_confirmed_rate_pct_max,target_confirmed_rate_pct_range,radar_target_hazard_match_rate_pct_mean,radar_target_hazard_match_rate_pct_std,radar_target_hazard_match_rate_pct_min,radar_target_hazard_match_rate_pct_max,radar_target_hazard_match_rate_pct_range
ccrb_110_gap_20,CCRb,5,0,5,5,5,False,2.1,0.0,2.1,2.1,0.0,18.5656,0.0037202150475468916,18.562,18.572,0.00999999999999801,0.0828,0.0018330302779823327,0.081,0.086,0.0049999999999999906,250.63400000000001,0.0353892639087035,250.602,250.702,0.09999999999999432,4794.2828,0.7028292538021251,4793.646,4795.634,1.9880000000002838,95.06,0.0,95.06,95.06,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_30,CCRb,5,5,0,0,5,False,2.25,0.0,2.25,2.25,0.0,27.4514,0.0017435595774163625,27.449,27.454,0.004999999999999005,1.6556,0.0004898979485565817,1.655,1.656,0.0009999999999998899,11.982,0.0,11.982,11.982,0.0,224.766,6.562159522596202,216.938,232.29,15.352000000000004,94.39,0.0,94.39,94.39,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_40,CCRb,5,5,0,0,5,False,2.45,0.0,2.45,2.45,0.0,35.552,0.001788854381999635,35.55,35.555,0.005000000000002558,4.1628,0.02890951400490828,4.105,4.178,0.07299999999999951,11.968,0.0,11.968,11.968,0.0,222.0288,8.518768042387347,212.092,233.012,20.919999999999987,94.64,0.0,94.64,94.64,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_50,CCRb,5,5,0,0,5,False,2.65,0.0,2.65,2.65,0.0,43.1578,0.030373672810511586,43.128,43.21,0.08200000000000074,6.4724,0.02887628785006804,6.448,6.528,0.07999999999999918,12.73,0.3802357163655198,11.975,12.988,1.013,240.5172,59.143568219714304,128.614,305.574,176.96,94.87,0.0,94.87,94.87,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_60,CCRb,5,5,0,0,5,False,2.85,0.0,2.85,2.85,0.0,50.153000000000006,0.016334013591276026,50.142,50.185,0.04299999999999926,8.225800000000001,0.008255906976220223,8.22,8.242,0.02200000000000024,11.889,0.0,11.889,11.889,0.0,147.23760000000001,20.42699070935315,127.638,184.79,57.15199999999999,95.12,0.0,95.12,95.12,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_80,CCRb,5,5,0,0,5,False,3.25,0.0,3.25,3.25,0.0,62.504799999999996,0.012302845199386089,62.495,62.529,0.034000000000006025,10.48,0.03720752612039643,10.406,10.502,0.09600000000000009,11.146,0.0,11.146,11.146,0.0,183.592,63.24799249936713,137.172,305.574,168.40200000000002,61.59,0.0,61.59,61.59,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_20,CCRb,5,5,0,0,5,False,2.3,0.0,2.3,2.3,0.0,17.0106,0.016704490414257405,17.002,17.044,0.04200000000000159,6.9252,0.0076524505878836175,6.912,6.936,0.02400000000000002,11.2234,0.2704674472094563,10.964,11.73,0.766,262.0232,80.49985013253131,219.13,422.978,203.848,97.56,0.0,97.56,97.56,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_30,CCRb,5,5,0,0,5,False,2.95,0.0,2.95,2.95,0.0,20.0914,0.0018547236990986492,20.09,20.095,0.004999999999999005,7.3912,0.0017204650534085838,7.388,7.393,0.004999999999999893,9.855,0.0,9.855,9.855,0.0,159.5464,6.883797486852737,150.35,169.328,18.97800000000001,93.75,0.0,93.75,93.75,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_40,CCRb,5,5,0,0,5,False,3.65,0.0,3.65,3.65,0.0,20.3726,0.007227724399837401,20.368,20.387,0.019000000000001904,7.5604000000000005,0.006406246951218935,7.556,7.573,0.017000000000000348,10.1016,0.24439198022848427,9.851,10.568,0.7169999999999987,200.2544,7.137646715830079,188.704,211.212,22.50799999999998,50.0,0.0,50.0,50.0,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_50,CCRb,5,5,0,0,5,False,4.35,0.0,4.35,4.35,0.0,20.646,0.006603029607687455,20.642,20.659,0.01699999999999946,7.8344000000000005,0.005425863986500036,7.83,7.845,0.01499999999999968,10.0058,0.13353261773813865,9.851,10.184,0.3329999999999984,196.9164,6.523829844500852,186.704,203.532,16.828000000000003,42.74,0.0,42.74,42.74,0.0,100.0,0.0,100.0,100.0,0.0
