scenario_id,family,runs,pass,fail,collision,brake,mixed_outcome,first_brake_s_mean,first_brake_s_std,first_brake_s_min,first_brake_s_max,first_brake_s_range,brake_gap_m_mean,brake_gap_m_std,brake_gap_m_min,brake_gap_m_max,brake_gap_m_range,minimum_bumper_gap_m_mean,minimum_bumper_gap_m_std,minimum_bumper_gap_m_min,minimum_bumper_gap_m_max,minimum_bumper_gap_m_range,maximum_deceleration_mps2_mean,maximum_deceleration_mps2_std,maximum_deceleration_mps2_min,maximum_deceleration_mps2_max,maximum_deceleration_mps2_range,maximum_abs_jerk_mps3_mean,maximum_abs_jerk_mps3_std,maximum_abs_jerk_mps3_min,maximum_abs_jerk_mps3_max,maximum_abs_jerk_mps3_range,target_confirmed_rate_pct_mean,target_confirmed_rate_pct_std,target_confirmed_rate_pct_min,target_confirmed_rate_pct_max,target_confirmed_rate_pct_range,radar_target_hazard_match_rate_pct_mean,radar_target_hazard_match_rate_pct_std,radar_target_hazard_match_rate_pct_min,radar_target_hazard_match_rate_pct_max,radar_target_hazard_match_rate_pct_range
adjacent_stationary_50,adjacent,5,5,0,0,0,False,,,,,,,,,,,,,,,,0.1158,0.0043999999999999985,0.107,0.118,0.010999999999999996,111.208,0.0,111.208,111.208,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
adjacent_stationary_65,adjacent,5,5,0,0,0,False,,,,,,,,,,,,,,,,1.3208,0.008399999999999963,1.304,1.325,0.020999999999999908,133.642,0.0,133.642,133.642,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
adjacent_stationary_80,adjacent,5,5,0,0,0,False,,,,,,,,,,,,,,,,2.2161999999999997,0.005599999999999917,2.205,2.219,0.01399999999999979,141.41,0.0,141.41,141.41,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
ccrb_50_to_0,CCRb,5,5,0,0,5,False,2.8,0.0,2.8,2.8,0.0,19.519,0.0006324555320333254,19.518,19.52,0.0019999999999988916,6.9862,0.0011661903789690839,6.985,6.988,0.0030000000000001137,9.855,0.0,9.855,9.855,0.0,149.1692,2.921599178532192,145.818,153.998,8.179999999999978,93.55,0.0,93.55,93.55,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_65_to_0,CCRb,5,5,0,0,5,False,2.9,0.0,2.9,2.9,0.0,27.628,0.016012495120998477,27.619,27.66,0.04100000000000037,7.323,0.008000000000000186,7.319,7.339,0.020000000000000462,10.269,0.0,10.269,10.269,0.0,215.368,117.54470103241574,149.21,450.32,301.11,94.23,0.0,94.23,94.23,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_80_to_0,CCRb,5,5,0,0,5,False,3.0,0.0,3.0,3.0,0.0,37.5766,0.002244994432064703,37.575,37.581,0.006000000000000227,8.4582,0.0016000000000004012,8.456,8.46,0.004000000000001336,12.4228,1.0994444779069106,10.224,12.99,2.766,234.1344,46.36299076461743,141.41,257.766,116.35600000000002,94.74,0.0,94.74,94.74,0.0,100.0,0.0,100.0,100.0,0.0
ccrm_50_20,CCRm,5,5,0,0,5,False,2.72,0.024494897427831695,2.7,2.75,0.04999999999999982,17.1236,0.1833854956096579,16.899,17.274,0.375,12.2504,0.18771318547187885,12.02,12.404,0.38400000000000034,12.1738,1.1579862520772863,9.86,12.846,2.9860000000000007,286.9324,68.03043341799315,251.79,422.976,171.186,75.432,1.2149469124204584,74.44,76.92,2.480000000000004,100.0,0.0,100.0,100.0,0.0
ccrm_65_30,CCRm,5,5,0,0,5,False,2.75,0.0,2.75,2.75,0.0,23.0172,0.0031874754901019516,23.014,23.023,0.009000000000000341,15.536,0.0010954451150103738,15.534,15.537,0.0030000000000001137,12.1842,0.0355999999999999,12.142,12.232,0.08999999999999986,241.6292,0.6669447953166717,240.812,242.632,1.8199999999999932,70.59,0.0,70.59,70.59,0.0,100.0,0.0,100.0,100.0,0.0
ccrm_80_50,CCRm,5,5,0,0,5,False,3.65,0.0,3.65,3.65,0.0,24.2338,0.006615134163415725,24.227,24.246,0.01899999999999835,18.1786,0.0054626001134992115,18.174,18.189,0.015000000000000568,11.8754,0.26348783653140384,11.476,12.171,0.6949999999999985,163.1932,10.696149333288126,146.748,175.13,28.382000000000005,78.1,0.0,78.1,78.1,0.0,100.0,0.0,100.0,100.0,0.0
ccrs_50,CCRs,5,5,0,0,5,False,1.75,0.0,1.75,1.75,0.0,20.491,0.0,20.491,20.491,0.0,6.2508,0.0048744230427814695,6.242,6.255,0.0129999999999999,10.0012,0.2736694356335759,9.675,10.396,0.7210000000000001,199.8816,5.4676218450072005,193.366,207.772,14.405999999999977,74.67,0.0,74.67,74.67,0.0,100.0,0.0,100.0,100.0,0.0
