scenario_id,family,runs,pass,fail,collision,brake,mixed_outcome,first_brake_s_mean,first_brake_s_std,first_brake_s_min,first_brake_s_max,first_brake_s_range,brake_gap_m_mean,brake_gap_m_std,brake_gap_m_min,brake_gap_m_max,brake_gap_m_range,minimum_bumper_gap_m_mean,minimum_bumper_gap_m_std,minimum_bumper_gap_m_min,minimum_bumper_gap_m_max,minimum_bumper_gap_m_range,maximum_deceleration_mps2_mean,maximum_deceleration_mps2_std,maximum_deceleration_mps2_min,maximum_deceleration_mps2_max,maximum_deceleration_mps2_range,maximum_abs_jerk_mps3_mean,maximum_abs_jerk_mps3_std,maximum_abs_jerk_mps3_min,maximum_abs_jerk_mps3_max,maximum_abs_jerk_mps3_range,target_confirmed_rate_pct_mean,target_confirmed_rate_pct_std,target_confirmed_rate_pct_min,target_confirmed_rate_pct_max,target_confirmed_rate_pct_range,radar_target_hazard_match_rate_pct_mean,radar_target_hazard_match_rate_pct_std,radar_target_hazard_match_rate_pct_min,radar_target_hazard_match_rate_pct_max,radar_target_hazard_match_rate_pct_range
ccrb_110_gap_20,CCRb,5,0,5,5,5,False,2.15,0.0,2.15,2.15,0.0,18.2336,0.017906423428479205,18.223,18.269,0.045999999999999375,-0.008199999999999999,0.04094581785726108,-0.09,0.016,0.106,268.1626,8.410810486510792,251.341,272.393,21.051999999999964,5142.5132,167.27980164789784,4807.954,5226.642,418.6880000000001,94.766,0.4680000000000007,93.83,95.0,1.1700000000000017,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_30,CCRb,5,0,5,5,5,False,2.35,0.0,2.35,2.35,0.0,26.59,0.02126029162546975,26.563,26.609,0.04600000000000293,0.0086,0.0077871689335727145,-0.002,0.02,0.022,112.658,1.013944377172635,111.327,113.583,2.2560000000000002,2065.3112,20.284730635628314,2038.698,2083.796,45.09799999999973,89.58,0.0,89.58,89.58,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_40,CCRb,5,5,0,0,5,False,2.55,0.0,2.55,2.55,0.0,34.4172,0.0164243721341197,34.408,34.45,0.04200000000000159,0.9954,0.04575412549705218,0.963,1.083,0.12,11.9846,0.013705473359209668,11.977,12.012,0.03500000000000014,232.1804,4.2846411098247215,227.094,240.072,12.978000000000009,94.74,0.0,94.74,94.74,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_50,CCRb,5,5,0,0,5,False,2.7,0.0,2.7,2.7,0.0,42.434799999999996,0.013948476619330494,42.419,42.461,0.04200000000000159,5.4498,0.032008748804037784,5.389,5.476,0.08699999999999974,11.982,0.0,11.982,11.982,0.0,169.4068,68.5593529094317,128.614,305.574,176.96,94.92,0.0,94.92,94.92,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_60,CCRb,5,5,0,0,5,False,2.9,0.0,2.9,2.9,0.0,49.318599999999996,0.018205493676359288,49.309,49.355,0.045999999999999375,8.4708,0.01267122724916588,8.463,8.496,0.03300000000000125,12.2036,0.4332000000000001,11.987,13.07,1.0830000000000002,221.8656,128.6331016085673,128.614,458.944,330.33000000000004,95.08,0.0,95.08,95.08,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_80,CCRb,5,5,0,0,5,False,3.35,0.0,3.35,3.35,0.0,60.244,0.017527121840166467,60.234,60.279,0.045000000000001705,13.6384,0.010423051376636617,13.631,13.659,0.02800000000000047,11.997,0.0,11.997,11.997,0.0,256.3652,101.49313975318726,198.078,458.944,260.866,46.97,0.0,46.97,46.97,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_20,CCRb,5,5,0,0,5,False,2.59,0.020000000000000104,2.55,2.6,0.050000000000000266,14.3514,0.19430038600064606,14.254,14.74,0.48600000000000065,2.7681999999999998,0.2579026172802439,2.638,3.284,0.6459999999999999,12.5358,0.045490218728865314,12.449,12.571,0.12199999999999989,248.5648,0.795610557999323,247.068,249.162,2.093999999999994,97.724,0.012000000000000455,97.7,97.73,0.030000000000001137,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_30,CCRb,5,5,0,0,5,False,2.95,0.0,2.95,2.95,0.0,20.0786,0.022799999999999442,20.033,20.09,0.05699999999999861,7.7262,0.0236169430706007,7.679,7.739,0.05999999999999961,12.334200000000001,1.2371125090306059,9.86,12.96,3.1000000000000014,229.9448,54.06851257580515,121.808,257.182,135.37400000000002,93.68,0.0,93.68,93.68,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_40,CCRb,5,5,0,0,5,False,3.65,0.0,3.65,3.65,0.0,20.3692,0.001600000000000712,20.368,20.372,0.004000000000001336,8.003,0.0010954451150103738,8.002,8.005,0.0030000000000001137,12.4466,1.2428059542824856,9.961,13.074,3.1129999999999995,234.438,49.69505103730149,135.048,259.402,124.35399999999998,49.54,0.0,49.54,49.54,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_50,CCRb,5,5,0,0,5,False,4.35,0.0,4.35,4.35,0.0,20.6506,0.013245376551838552,20.643,20.677,0.03399999999999892,8.2834,0.013951344021276383,8.274,8.311,0.03700000000000081,11.808,1.5505559003144649,9.898,13.083,3.1850000000000005,208.7156,62.08297289788884,132.246,259.776,127.53,42.28,0.0,42.28,42.28,0.0,100.0,0.0,100.0,100.0,0.0
