scope,config,scenario_id,run_index,brake_activated,first_brake_s,first_brake_gap_m,preimpact_speed_kph,collision_tick_speed_kph,preimpact_elapsed_s,note
core_without_synthetic_fault,radar_only,ccrb_95_gap_20,1,True,2.1,18.563,20.432,3.889,4.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,radar_only,ccrb_95_gap_20,2,True,2.1,18.606,20.443,4.253,4.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,radar_only,ccrb_95_gap_20,3,True,2.1,18.562,20.429,3.884,4.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,radar_only,ccrb_95_gap_20,4,True,2.1,18.561,20.427,3.886,4.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,radar_only,ccrb_95_gap_20,5,True,2.1,18.562,20.429,3.886,4.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,radar_only,ccrb_110_gap_20,1,True,2.1,18.567,37.344,7.783,4.0,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,radar_only,ccrb_110_gap_20,2,True,2.1,18.564,37.34,7.784,4.0,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,radar_only,ccrb_110_gap_20,3,True,2.1,18.565,37.342,7.79,4.0,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,radar_only,ccrb_110_gap_20,4,True,2.1,18.564,37.34,7.784,4.0,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,radar_only,ccrb_110_gap_20,5,True,2.1,18.562,37.146,8.06,4.0,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,radar_only,cutin_100_60_gap_25,1,True,1.55,7.797,74.414,57.613,2.45,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,radar_only,cutin_100_60_gap_25,2,True,1.6,7.258,77.813,55.853,2.4,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,radar_only,cutin_100_60_gap_25,3,True,1.6,7.257,77.812,55.781,2.4,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,radar_only,cutin_100_60_gap_25,4,True,1.6,7.257,77.689,55.843,2.4,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,radar_only,cutin_100_60_gap_25,5,True,1.6,7.256,77.812,55.765,2.4,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,ccrb_95_gap_20,1,True,2.1,18.561,20.427,3.885,4.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,ccrb_95_gap_20,2,True,2.1,18.561,20.427,3.885,4.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,ccrb_95_gap_20,3,True,2.1,18.561,20.427,3.888,4.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,ccrb_95_gap_20,4,True,2.1,18.562,20.429,3.884,4.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,ccrb_95_gap_20,5,True,2.1,18.561,20.427,3.883,4.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,ccrb_110_gap_20,1,True,2.1,18.564,37.34,7.782,4.0,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,ccrb_110_gap_20,2,True,2.1,18.564,37.34,7.782,4.0,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,ccrb_110_gap_20,3,True,2.1,18.608,37.34,8.128,4.0,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,ccrb_110_gap_20,4,True,2.1,18.562,37.338,7.788,4.0,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,ccrb_110_gap_20,5,True,2.1,18.564,37.34,7.777,4.0,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,cutin_100_60_gap_25,1,True,1.6,7.257,77.812,55.917,2.4,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,cutin_100_60_gap_25,2,True,1.6,7.258,77.815,55.809,2.4,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,cutin_100_60_gap_25,3,True,1.6,7.257,77.814,55.817,2.4,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,cutin_100_60_gap_25,4,True,1.6,7.258,77.813,55.849,2.4,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,cutin_100_60_gap_25,5,True,1.6,7.257,77.812,55.817,2.4,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,prop_box_in_path_0p00,1,False,,,59.945,18.669,1.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,prop_box_in_path_0p00,2,False,,,59.945,18.669,1.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,prop_box_in_path_0p00,3,False,,,59.945,18.669,1.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,prop_box_in_path_0p00,4,False,,,59.945,18.669,1.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,prop_box_in_path_0p00,5,False,,,59.945,18.669,1.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,prop_barrel_in_path_0p00,1,False,,,59.945,18.251,1.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,prop_barrel_in_path_0p00,2,False,,,59.945,18.251,1.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,prop_barrel_in_path_0p00,3,False,,,59.945,18.251,1.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,prop_barrel_in_path_0p00,4,False,,,59.945,18.251,1.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,hard_gate,prop_barrel_in_path_0p00,5,False,,,59.945,18.251,1.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,safe_fallback,ccrb_95_gap_20,1,True,2.1,18.562,20.429,3.884,4.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,safe_fallback,ccrb_95_gap_20,2,True,2.1,18.561,20.427,3.885,4.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,safe_fallback,ccrb_95_gap_20,3,True,2.1,18.567,20.434,3.889,4.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,safe_fallback,ccrb_95_gap_20,4,True,2.1,18.563,20.431,3.884,4.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,safe_fallback,ccrb_95_gap_20,5,True,2.1,18.563,20.431,3.886,4.15,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,safe_fallback,ccrb_110_gap_20,1,True,2.1,18.569,37.346,7.792,4.0,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,safe_fallback,ccrb_110_gap_20,2,True,2.1,18.562,37.338,7.783,4.0,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,safe_fallback,ccrb_110_gap_20,3,True,2.1,18.562,37.338,7.783,4.0,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,safe_fallback,ccrb_110_gap_20,4,True,2.1,18.562,37.338,7.78,4.0,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,safe_fallback,ccrb_110_gap_20,5,True,2.1,18.591,37.35,8.136,4.0,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,safe_fallback,cutin_100_60_gap_25,1,True,1.6,7.257,77.814,55.832,2.4,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,safe_fallback,cutin_100_60_gap_25,2,True,1.6,7.258,77.814,55.85,2.4,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,safe_fallback,cutin_100_60_gap_25,3,True,1.6,7.301,77.811,56.093,2.4,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,safe_fallback,cutin_100_60_gap_25,4,True,1.6,7.258,77.814,55.884,2.4,preimpact speed is the last 0.05-s tick before first collision_count>0
core_without_synthetic_fault,safe_fallback,cutin_100_60_gap_25,5,True,1.6,7.257,77.813,55.828,2.4,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,radar_only,holdout_cart_center_v50_g18,1,False,,,49.956,14.31,1.25,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,radar_only,holdout_cart_center_v50_g18,2,False,,,49.956,14.31,1.25,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,radar_only,holdout_cart_center_v50_g18,3,False,,,49.956,14.31,1.25,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,radar_only,holdout_cart_center_v50_g18,4,False,,,49.956,14.31,1.25,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,radar_only,holdout_cart_center_v50_g18,5,False,,,49.956,14.31,1.25,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,radar_only,holdout_bench_center_v60_g22,1,True,0.55,12.624,32.574,8.317,1.5,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,radar_only,holdout_bench_center_v60_g22,2,True,0.55,12.624,32.574,8.317,1.5,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,radar_only,holdout_bench_center_v60_g22,3,True,0.55,12.624,32.574,8.317,1.5,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,radar_only,holdout_bench_center_v60_g22,4,True,0.55,12.624,32.574,8.317,1.5,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,radar_only,holdout_bench_center_v60_g22,5,True,0.55,12.624,32.574,8.317,1.5,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,radar_only,holdout_warning_center_v70_g25,1,True,0.15,21.871,7.818,0.278,2.15,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,radar_only,holdout_warning_center_v70_g25,2,True,0.15,21.871,7.818,0.278,2.15,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,radar_only,holdout_warning_center_v70_g25,3,True,0.15,21.871,7.818,0.278,2.15,preimpact speed is the last 0.05-s tick before first collision_count>0
frozen_adverse_holdout,radar_only,holdout_warning_center_v70_g25,4,True,0.15,21.871,7.818,0.278,2.15,preimpact speed is the last 0.05-s tick before first collision_count>0
