scope,config,scenario_id,runs,preimpact_speed_kph_median,preimpact_speed_kph_min,preimpact_speed_kph_max,first_brake_s_median,first_brake_s_min,first_brake_s_max,first_brake_gap_m_median,first_brake_gap_m_min,first_brake_gap_m_max
core_without_synthetic_fault,hard_gate,ccrb_110_gap_20,5,37.34,37.338,37.34,2.1,2.1,2.1,18.564,18.562,18.608
core_without_synthetic_fault,hard_gate,ccrb_95_gap_20,5,20.427,20.427,20.429,2.1,2.1,2.1,18.561,18.561,18.562
core_without_synthetic_fault,hard_gate,cutin_100_60_gap_25,5,77.813,77.812,77.815,1.6,1.6,1.6,7.257,7.257,7.258
core_without_synthetic_fault,hard_gate,prop_barrel_in_path_0p00,5,59.945,59.945,59.945,,,,,,
core_without_synthetic_fault,hard_gate,prop_box_in_path_0p00,5,59.945,59.945,59.945,,,,,,
core_without_synthetic_fault,radar_only,ccrb_110_gap_20,5,37.34,37.146,37.344,2.1,2.1,2.1,18.564,18.562,18.567
core_without_synthetic_fault,radar_only,ccrb_95_gap_20,5,20.429,20.427,20.443,2.1,2.1,2.1,18.562,18.561,18.606
core_without_synthetic_fault,radar_only,cutin_100_60_gap_25,5,77.812,74.414,77.813,1.6,1.55,1.6,7.257,7.256,7.797
core_without_synthetic_fault,safe_fallback,ccrb_110_gap_20,5,37.338,37.338,37.35,2.1,2.1,2.1,18.562,18.562,18.591
core_without_synthetic_fault,safe_fallback,ccrb_95_gap_20,5,20.431,20.427,20.434,2.1,2.1,2.1,18.563,18.561,18.567
core_without_synthetic_fault,safe_fallback,cutin_100_60_gap_25,5,77.814,77.811,77.814,1.6,1.6,1.6,7.258,7.257,7.301
frozen_adverse_holdout,hard_gate,holdout_bench_center_v60_g22,5,59.945,59.945,59.945,,,,,,
frozen_adverse_holdout,hard_gate,holdout_cart_center_v50_g18,5,49.956,49.956,49.956,,,,,,
frozen_adverse_holdout,hard_gate,holdout_warning_center_v70_g25,5,7.818,7.818,7.818,0.15,0.15,0.15,21.871,21.871,21.871
frozen_adverse_holdout,radar_only,holdout_bench_center_v60_g22,5,32.574,32.574,32.574,0.55,0.55,0.55,12.624,12.624,12.624
frozen_adverse_holdout,radar_only,holdout_cart_center_v50_g18,5,49.956,49.956,49.956,,,,,,
frozen_adverse_holdout,radar_only,holdout_warning_center_v70_g25,5,7.818,7.818,7.818,0.15,0.15,0.15,21.871,21.871,21.871
frozen_adverse_holdout,safe_fallback,holdout_bench_center_v60_g22,5,54.932,54.932,54.932,1.05,1.05,1.05,4.295,4.295,4.295
frozen_adverse_holdout,safe_fallback,holdout_cart_center_v50_g18,5,49.956,49.956,49.956,,,,,,
frozen_adverse_holdout,safe_fallback,holdout_warning_center_v70_g25,5,7.818,7.818,7.818,0.15,0.15,0.15,21.871,21.871,21.871
