config,scenario_id,run_index,first_brake_s,onset_speed_kph,brake_duration_s,peak_deceleration_mps2,minimum_logged_speed_kph,stopped_below_1kph
radar_only,holdout_ghost_6pt_center,1,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_6pt_center,2,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_6pt_center,3,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_6pt_center,4,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_6pt_center,5,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_8pt_center,1,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_8pt_center,2,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_8pt_center,3,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_8pt_center,4,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_8pt_center,5,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_10pt_center,1,0.15,88.233,4.0,9.081,0.0,True
radar_only,holdout_ghost_10pt_center,2,0.15,88.233,4.0,9.081,0.0,True
radar_only,holdout_ghost_10pt_center,3,0.15,88.233,4.0,9.081,0.0,True
radar_only,holdout_ghost_10pt_center,4,0.15,88.233,4.0,9.081,0.0,True
radar_only,holdout_ghost_10pt_center,5,0.15,88.233,4.0,9.081,0.0,True
radar_only,holdout_ghost_8pt_offset_0p50,1,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_8pt_offset_0p50,2,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_8pt_offset_0p50,3,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_8pt_offset_0p50,4,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_8pt_offset_0p50,5,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_8pt_offset_0p75,1,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_8pt_offset_0p75,2,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_8pt_offset_0p75,3,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_8pt_offset_0p75,4,0.15,78.368,3.6,9.022,0.0,True
radar_only,holdout_ghost_8pt_offset_0p75,5,0.15,78.368,3.6,9.022,0.0,True
safe_fallback,holdout_ghost_6pt_center,1,0.15,78.368,3.6,9.022,0.0,True
safe_fallback,holdout_ghost_6pt_center,2,0.15,78.368,3.6,9.022,0.0,True
safe_fallback,holdout_ghost_6pt_center,3,0.15,78.368,3.6,9.022,0.0,True
safe_fallback,holdout_ghost_6pt_center,4,0.15,78.368,3.6,9.022,0.0,True
safe_fallback,holdout_ghost_6pt_center,5,0.15,78.368,3.6,9.022,0.0,True
safe_fallback,holdout_ghost_8pt_center,1,0.15,78.368,3.6,9.022,0.0,True
safe_fallback,holdout_ghost_8pt_center,2,0.15,78.368,3.6,9.022,0.0,True
safe_fallback,holdout_ghost_8pt_center,3,0.15,78.368,3.6,9.022,0.0,True
safe_fallback,holdout_ghost_8pt_center,4,0.15,78.368,3.6,9.022,0.0,True
safe_fallback,holdout_ghost_8pt_center,5,0.15,78.368,3.6,9.022,0.0,True
safe_fallback,holdout_ghost_10pt_center,1,0.15,88.233,4.0,9.081,0.0,True
safe_fallback,holdout_ghost_10pt_center,2,0.15,88.233,4.0,9.081,0.0,True
safe_fallback,holdout_ghost_10pt_center,3,0.15,88.233,4.0,9.081,0.0,True
safe_fallback,holdout_ghost_10pt_center,4,0.15,88.233,4.0,9.081,0.0,True
safe_fallback,holdout_ghost_10pt_center,5,0.15,88.233,4.0,9.081,0.0,True
safe_fallback,holdout_ghost_8pt_offset_0p50,1,0.15,78.368,3.6,9.022,0.0,True
safe_fallback,holdout_ghost_8pt_offset_0p50,2,0.15,78.368,3.6,9.022,0.0,True
safe_fallback,holdout_ghost_8pt_offset_0p50,3,0.15,78.368,3.6,9.022,0.0,True
safe_fallback,holdout_ghost_8pt_offset_0p50,4,0.15,78.368,3.6,9.022,0.0,True
safe_fallback,holdout_ghost_8pt_offset_0p50,5,0.15,78.368,3.6,9.022,0.0,True
