scope,config,named_conditions,TP,FP,TN,FN,precision,precision_ci95_low,precision_ci95_high,recall,recall_ci95_low,recall_ci95_high,pass_conditions,collision_conditions
core_without_synthetic_fault,radar_only,105,84,8,12,1,0.913,0.8377,0.9553,0.9882,0.9363,0.9979,93,3
perturbation,radar_only,20,20,0,0,0,1.0,0.8389,1.0,1.0,0.8389,1.0,19,1
frozen_adverse_holdout,radar_only,14,6,5,2,1,0.5455,0.2801,0.7873,0.8571,0.4869,0.9743,6,3
core_without_synthetic_fault,hard_gate,105,82,0,20,3,1.0,0.9552,1.0,0.9647,0.9013,0.9879,99,5
perturbation,hard_gate,20,15,0,0,5,1.0,0.7961,1.0,0.75,0.5313,0.8881,15,5
frozen_adverse_holdout,hard_gate,14,5,0,7,2,1.0,0.5655,1.0,0.7143,0.3589,0.9178,11,3
core_without_synthetic_fault,safe_fallback,105,84,0,20,1,1.0,0.9563,1.0,0.9882,0.9363,0.9979,101,3
perturbation,safe_fallback,20,20,0,0,0,1.0,0.8389,1.0,1.0,0.8389,1.0,18,1
frozen_adverse_holdout,safe_fallback,14,6,4,3,1,0.6,0.3127,0.8318,0.8571,0.4869,0.9743,7,3
camera_disabled,hard_gate,10,0,0,4,6,,,,0.0,0.0,0.3903,4,6
camera_disabled,safe_fallback,10,6,0,4,0,1.0,0.6097,1.0,1.0,0.6097,1.0,8,2
